Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,66.0999984741211,73.0,66.0999984741211,71.69999694824219,67.0894775390625,44117
2002-07-02,71.75,75.5,71.75,73.0,68.3058853149414,38497
2002-07-03,70.75,72.94999694824219,68.5,69.25,64.79701232910156,11776
2002-07-04,71.94999694824219,74.75,69.69999694824219,71.4000015258789,66.80876922607422,40913
2002-07-05,72.05000305175781,74.75,71.0,71.80000305175781,67.18305969238281,22649
2002-07-08,72.0,73.6500015258789,70.05000305175781,70.94999694824219,66.38770294189453,27575
2002-07-09,71.0999984741211,71.9000015258789,69.6500015258789,70.80000305175781,66.24736022949219,33590
2002-07-10,71.4000015258789,71.75,69.19999694824219,69.19999694824219,64.750244140625,9112
2002-07-11,68.0,68.25,65.5,66.44999694824219,62.17706298828125,6096
2002-07-12,68.05000305175781,76.0,67.6500015258789,74.94999694824219,70.1304931640625,115960
2002-07-15,75.9000015258789,78.0,68.0999984741211,69.4000015258789,64.93738555908203,89272
2002-07-16,70.0,71.5,60.29999923706055,61.900001525878906,57.91965103149414,58641
2002-07-17,60.5,63.95000076293945,60.5,63.0,58.948917388916016,21105
2002-07-18,63.5,69.0,61.0,65.3499984741211,61.147796630859375,28870
2002-07-19,67.9000015258789,69.0,62.099998474121094,63.04999923706055,58.99570083618164,13588
2002-07-22,60.099998474121094,60.099998474121094,56.25,56.849998474121094,53.19437789916992,19525
2002-07-23,55.04999923706055,59.150001525878906,55.04999923706055,58.349998474121094,54.597923278808594,8548
2002-07-24,59.5,59.5,54.5,55.04999923706055,51.510128021240234,9771
2002-07-25,58.650001525878906,58.70000076293945,55.099998474121094,55.599998474121094,52.02475357055664,10014
2002-07-26,54.25,56.150001525878906,50.0,50.95000076293945,47.673763275146484,9861
2002-07-29,51.0,51.099998474121094,42.0,46.099998474121094,43.13563537597656,10755
2002-07-30,46.25,47.5,44.25,45.150001525878906,42.246726989746094,10458
2002-07-31,42.29999923706055,46.900001525878906,42.29999923706055,46.400001525878906,43.41635513305664,8525
2002-08-01,48.5,49.849998474121094,45.54999923706055,46.5,43.50990676879883,11506
2002-08-02,44.75,48.0,44.75,47.650001525878906,44.58597183227539,13743
2002-08-05,48.0,51.75,48.0,50.400001525878906,47.159141540527344,8712
2002-08-06,50.650001525878906,51.5,49.20000076293945,51.150001525878906,47.86090850830078,9997
2002-08-07,52.900001525878906,54.0,52.099998474121094,52.45000076293945,49.077308654785156,6400
2002-08-08,53.0,53.45000076293945,47.0,47.54999923706055,44.49239730834961,6536
2002-08-09,48.0,48.29999923706055,47.150001525878906,47.79999923706055,44.726318359375,1412
2002-08-12,49.599998474121094,50.45000076293945,49.04999923706055,49.5,46.31700897216797,3700
2002-08-13,49.45000076293945,49.45000076293945,48.0,48.54999923706055,45.4280891418457,2800
2002-08-14,48.0,48.599998474121094,46.5,47.04999923706055,44.02454376220703,1100
2002-08-15,47.04999923706055,47.04999923706055,47.04999923706055,47.04999923706055,44.02454376220703,0
2002-08-16,47.099998474121094,48.650001525878906,47.099998474121094,47.400001525878906,44.35203552246094,1100
2002-08-19,45.29999923706055,47.400001525878906,43.25,43.900001525878906,41.07710266113281,10400
2002-08-20,45.5,46.79999923706055,45.0,46.0,43.04206848144531,3700
2002-08-21,47.0,47.0,44.5,44.599998474121094,41.732093811035156,1800
2002-08-22,45.5,45.5,45.0,45.150001525878906,42.246726989746094,350
2002-08-23,44.0,47.0,44.0,46.0,43.04206848144531,3700
2002-08-26,46.04999923706055,46.25,46.0,46.0,43.04206848144531,1200
2002-08-27,45.0,45.099998474121094,44.0,44.0,41.1706657409668,1191
2002-08-28,44.0,48.0,43.099998474121094,43.75,40.9367561340332,7400
2002-08-29,47.400001525878906,47.400001525878906,43.099998474121094,44.75,41.87244415283203,400
2002-08-30,42.599998474121094,43.599998474121094,42.599998474121094,43.099998474121094,40.32854461669922,870
2002-09-02,43.0,44.29999923706055,42.0,42.599998474121094,39.86070251464844,3300
2002-09-03,44.25,44.29999923706055,41.599998474121094,41.650001525878906,38.97178268432617,1400
2002-09-04,43.25,43.5,41.650001525878906,41.75,39.06534957885742,2500
2002-09-05,39.0,43.25,39.0,43.25,40.46889114379883,5000
2002-09-06,42.5,43.29999923706055,42.0,42.70000076293945,39.954261779785156,2800
2002-09-09,43.0,45.0,42.5,43.150001525878906,40.375335693359375,6800
2002-09-10,43.150001525878906,43.150001525878906,43.150001525878906,43.150001525878906,40.375335693359375,0
2002-09-11,43.0,44.95000076293945,43.0,43.95000076293945,41.1238899230957,2400
2002-09-12,44.0,44.349998474121094,43.599998474121094,44.0,41.1706657409668,1400
2002-09-13,44.75,46.04999923706055,43.75,45.29999923706055,42.38707733154297,4100
2002-09-16,45.95000076293945,48.29999923706055,45.29999923706055,47.20000076293945,44.1649055480957,8200
2002-09-17,46.0,47.45000076293945,45.599998474121094,46.04999923706055,43.08884048461914,2500
2002-09-18,44.599998474121094,46.0,44.5,45.20000076293945,42.29350662231445,1699
2002-09-19,44.79999923706055,44.79999923706055,43.0,44.400001525878906,41.544952392578125,3200
2002-09-20,44.0,45.25,44.0,44.75,41.87244415283203,1900
2002-09-23,43.25,44.900001525878906,43.25,43.79999923706055,40.9835319519043,1800
2002-09-24,43.900001525878906,44.29999923706055,43.099998474121094,43.900001525878906,41.07710266113281,5500
2002-09-25,52.0,52.0,43.25,43.900001525878906,41.07710266113281,400
2002-09-26,44.5,44.95000076293945,44.0,44.25,41.404598236083984,600
2002-09-27,44.0,50.95000076293945,43.5,45.150001525878906,42.246726989746094,2900
2002-09-30,44.04999923706055,44.95000076293945,43.900001525878906,43.900001525878906,41.07710266113281,1300
2002-10-01,43.400001525878906,44.400001525878906,43.400001525878906,43.95000076293945,41.1238899230957,1100
2002-10-02,43.95000076293945,43.95000076293945,43.95000076293945,43.95000076293945,41.1238899230957,0
2002-10-03,44.900001525878906,48.900001525878906,44.400001525878906,45.099998474121094,42.19993591308594,3700
2002-10-04,43.04999923706055,45.95000076293945,43.0,45.20000076293945,42.29350662231445,1498
2002-10-07,44.0,45.599998474121094,44.0,44.70000076293945,41.825660705566406,4400
2002-10-08,44.75,45.0,44.5,44.95000076293945,42.0595817565918,1900
2002-10-09,44.599998474121094,45.349998474121094,44.599998474121094,45.0,42.10637283325195,2400
2002-10-10,44.900001525878906,45.0,44.25,45.0,42.10637283325195,500
2002-10-11,45.29999923706055,45.29999923706055,44.0,44.25,41.404598236083984,4700
2002-10-14,43.75,44.95000076293945,43.54999923706055,43.900001525878906,41.07710266113281,1200
2002-10-15,43.900001525878906,43.900001525878906,43.900001525878906,43.900001525878906,41.07710266113281,0
2002-10-16,44.0,49.099998474121094,43.650001525878906,44.20000076293945,41.357810974121094,8200
2002-10-17,43.5,43.900001525878906,43.099998474121094,43.599998474121094,40.79638671875,2200
2002-10-18,44.0,44.599998474121094,43.099998474121094,43.20000076293945,40.422119140625,1600
2002-10-21,44.349998474121094,47.95000076293945,42.25,44.900001525878906,42.01280212402344,2700
2002-10-22,46.45000076293945,46.45000076293945,43.150001525878906,43.70000076293945,40.88996505737305,1900
2002-10-23,42.79999923706055,43.95000076293945,42.79999923706055,43.45000076293945,40.656036376953125,1900
2002-10-24,43.29999923706055,44.900001525878906,42.0,42.45000076293945,39.7203369140625,4700
2002-10-25,37.5,42.5,37.5,40.650001525878906,38.03608703613281,9600
2002-10-28,42.0,45.95000076293945,42.0,44.349998474121094,41.4981689453125,16500
2002-10-29,43.849998474121094,44.20000076293945,43.5,44.0,41.1706657409668,11700
2002-10-30,44.04999923706055,45.70000076293945,44.04999923706055,44.95000076293945,42.0595817565918,5500
2002-10-31,45.5,46.650001525878906,45.349998474121094,45.70000076293945,42.7613639831543,1600
2002-11-01,46.0,47.099998474121094,45.900001525878906,46.75,43.74384307861328,3400
2002-11-04,47.0,47.099998474121094,46.0,46.45000076293945,43.463134765625,4000
2002-11-05,46.5,47.5,46.5,47.349998474121094,44.30525588989258,970
2002-11-06,47.349998474121094,47.349998474121094,47.349998474121094,47.349998474121094,44.30525588989258,0
2002-11-07,46.95000076293945,46.95000076293945,46.25,46.349998474121094,43.369564056396484,1700
2002-11-08,46.0,51.900001525878906,46.0,47.04999923706055,44.02454376220703,13700
2002-11-11,45.5,47.75,45.5,47.20000076293945,44.1649055480957,2600
2002-11-12,46.099998474121094,50.400001525878906,46.099998474121094,47.5,44.44561767578125,8000
2002-11-13,48.0,48.0,47.25,47.5,44.44561767578125,5000
2002-11-14,48.0,48.70000076293945,47.599998474121094,47.75,44.679534912109375,1700
2002-11-15,47.900001525878906,48.25,47.75,47.79999923706055,44.726318359375,6900
2002-11-18,48.900001525878906,49.599998474121094,47.25,49.29999923706055,46.12986373901367,3500
2002-11-19,49.29999923706055,49.29999923706055,49.29999923706055,49.29999923706055,46.12986373901367,0
2002-11-20,49.25,51.70000076293945,49.25,51.04999923706055,47.767333984375,6500
