Date,Open,High,Low,Close,Adj Close,Volume
2020-10-07,825.5999755859375,851.0,825.5999755859375,836.9500122070312,574.2665405273438,5304
2020-10-08,840.6500244140625,845.0,686.2999877929688,791.9000244140625,543.3557739257812,4021
2020-10-09,822.8499755859375,850.0,809.7999877929688,832.2000122070312,571.00732421875,3822
2020-10-12,848.0,860.5499877929688,803.0499877929688,819.7999877929688,562.4991455078125,3398
2020-10-13,819.0,831.25,810.2000122070312,821.3499755859375,563.5626220703125,859
2020-10-14,810.0,824.9500122070312,792.2000122070312,800.25,549.0850830078125,5417
2020-10-15,800.2999877929688,810.0,789.5499877929688,793.6500244140625,544.5565795898438,1332
2020-10-16,789.5,804.75,759.0,792.0499877929688,543.4586791992188,4677
2020-10-19,795.0,807.9500122070312,785.4500122070312,791.3499755859375,542.9783935546875,3894
2020-10-20,795.9500122070312,800.0,790.0999755859375,794.5499877929688,545.174072265625,1587
2020-10-21,798.0,807.4500122070312,775.0499877929688,790.3499755859375,542.2922973632812,9796
2020-10-22,819.8499755859375,819.8499755859375,790.3499755859375,797.9500122070312,547.5069580078125,10386
2020-10-23,804.4500122070312,807.5,786.0,796.5999755859375,546.5806884765625,24992
2020-10-26,796.5999755859375,800.0,779.0,779.9000244140625,535.1220703125,3303
2020-10-27,779.0999755859375,804.7999877929688,778.9500122070312,798.7000122070312,548.0216674804688,20003
2020-10-28,795.0499877929688,820.0,780.1500244140625,786.9500122070312,539.9594116210938,10306
2020-10-29,782.0,799.0,776.1500244140625,790.2999877929688,542.2579345703125,2184
2020-10-30,799.75,828.2000122070312,790.0,810.0999755859375,555.8435668945312,6268
2020-11-02,816.0,819.9500122070312,780.0,785.9000244140625,539.239013671875,24430
2020-11-03,800.0,800.0,785.0,788.7000122070312,541.16015625,7355
2020-11-04,787.75,817.0,780.0499877929688,799.4000244140625,548.5018920898438,13398
2020-11-05,808.5499877929688,818.0,795.0,800.8499755859375,549.4967651367188,10625
2020-11-06,805.7999877929688,849.7999877929688,801.2000122070312,833.0,571.5562133789062,77007
2020-11-09,844.7000122070312,845.0499877929688,809.5,817.5,560.9210815429688,12282
2020-11-10,814.7999877929688,816.6500244140625,800.0,805.0,552.34423828125,7614
2020-11-11,802.75,816.3499755859375,800.0999755859375,810.4000244140625,556.0494384765625,10137
2020-11-12,812.0999755859375,820.0,808.0,809.2999877929688,555.294677734375,2546
2020-11-13,808.0,810.0,803.0,805.9000244140625,552.9618530273438,2670
2020-11-14,811.9500122070312,828.0,781.2999877929688,820.6500244140625,563.0823974609375,3114
2020-11-17,822.5499877929688,833.0,807.0499877929688,816.2999877929688,560.0977172851562,7566
2020-11-18,820.0,825.0,808.0499877929688,815.0,559.2056884765625,8211
2020-11-19,839.0,839.0,813.0,817.5999755859375,560.9896850585938,17613
2020-11-20,828.7000122070312,838.1500244140625,815.25,821.0499877929688,563.3568725585938,7023
2020-11-23,826.9000244140625,830.2000122070312,814.0999755859375,817.5,560.9210815429688,6056
2020-11-24,832.9500122070312,832.9500122070312,806.9500122070312,818.2000122070312,561.4013671875,7718
2020-11-25,821.0,829.9500122070312,806.2999877929688,813.75,558.3479614257812,18083
2020-11-26,815.5,824.5,806.2000122070312,810.6500244140625,556.2210083007812,95619
2020-11-27,818.8499755859375,828.7999877929688,817.0499877929688,821.2000122070312,563.4598388671875,7462
2020-12-01,829.9000244140625,850.0,822.0999755859375,839.1500244140625,575.7759399414062,17110
2020-12-02,833.0499877929688,840.9500122070312,829.0,834.0,572.2423706054688,4878
2020-12-03,840.0,865.25,839.5999755859375,845.0,579.7899780273438,51293
2020-12-04,854.9000244140625,887.9500122070312,853.0499877929688,876.0,601.060302734375,46994
2020-12-07,889.0,1040.0,880.2000122070312,997.6500244140625,684.529541015625,246546
2020-12-08,1110.0,1178.800048828125,1050.0,1148.5999755859375,788.1025390625,435198
2020-12-09,1208.0,1208.0,1158.0,1164.0,798.669189453125,178717
2020-12-10,1190.0,1190.0,1125.0,1165.550048828125,799.7327270507812,83127
2020-12-11,1170.0,1175.0,1150.0,1161.0,796.61083984375,100804
2020-12-14,1066.0,1099.0,1052.25,1059.449951171875,780.7301025390625,48064
2020-12-15,1065.0,1070.0,1006.0,1013.2999877929688,746.7213134765625,58362
2020-12-16,983.2999877929688,1018.0,952.6500244140625,1002.4500122070312,738.7257690429688,61101
2020-12-17,1002.4500122070312,1019.9000244140625,981.25,986.7000122070312,727.1192016601562,21499
2020-12-18,990.0,995.8499755859375,954.6500244140625,970.75,715.3653564453125,19985
2020-12-21,970.75,999.5,908.7999877929688,919.5499877929688,677.6349487304688,20236
2020-12-22,925.0,934.0999755859375,876.2999877929688,904.2999877929688,666.3970336914062,19354
2020-12-23,923.9500122070312,951.0,909.6500244140625,945.5499877929688,696.794921875,14859
2020-12-24,964.9000244140625,980.0,951.0,955.25,703.9430541992188,15163
2020-12-28,956.0499877929688,973.9500122070312,956.0499877929688,962.4000244140625,709.212158203125,8637
2020-12-29,973.75,978.8499755859375,960.0,969.7999877929688,714.6652221679688,12514
2020-12-30,978.9000244140625,978.9000244140625,957.0499877929688,959.9500122070312,707.4066772460938,9641
2020-12-31,962.9500122070312,966.0,940.0,962.9500122070312,709.617431640625,4786
2021-01-01,969.7000122070312,974.5,956.75,963.2000122070312,709.8016357421875,8615
2021-01-04,972.0,990.5499877929688,956.25,981.0499877929688,722.9556274414062,16958
2021-01-05,965.0499877929688,1013.2000122070312,965.0499877929688,979.5999755859375,721.8870849609375,41257
2021-01-06,994.0,994.0,964.2000122070312,976.9500122070312,719.9342651367188,13674
2021-01-07,980.0,985.0,976.2999877929688,978.9500122070312,721.4080810546875,8838
2021-01-08,979.5499877929688,983.9500122070312,962.25,965.8499755859375,711.7544555664062,27309
2021-01-11,964.0,969.6500244140625,950.0,955.0,703.7589111328125,27987
2021-01-12,953.5,969.0,945.0,959.1500244140625,706.8170776367188,17687
2021-01-13,955.0499877929688,983.0,951.0,959.4500122070312,707.0380859375,23649
2021-01-14,965.0,971.0,933.9500122070312,952.0999755859375,701.6217651367188,12327
2021-01-15,954.0,958.75,934.0,939.8499755859375,692.5945434570312,9911
2021-01-18,949.0,949.9000244140625,920.0,921.0499877929688,678.7404174804688,9278
2021-01-19,929.0999755859375,940.0,921.2000122070312,934.3499755859375,688.5414428710938,7809
2021-01-20,926.5,998.4000244140625,926.5,987.25,727.5245361328125,51735
2021-01-21,997.6500244140625,1029.4000244140625,970.0499877929688,985.5999755859375,726.30859375,179010
2021-01-22,1028.699951171875,1033.3499755859375,995.2999877929688,1008.0,742.815673828125,133314
2021-01-25,1020.0,1029.0,982.5,990.2999877929688,729.7721557617188,59059
2021-01-27,990.0,990.0,945.0999755859375,950.0499877929688,700.1111450195312,32804
2021-01-28,949.9500122070312,953.0,922.5499877929688,933.0999755859375,687.6202392578125,22070
2021-01-29,934.0999755859375,949.0,925.0,928.25,684.0462036132812,12861
2021-02-01,933.0,937.75,919.9500122070312,929.9000244140625,685.2621459960938,25334
