Date,Open,High,Low,Close,Adj Close,Volume,%delivery,Share Delivery,52_Week_High,52_Week_Low,Basic EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),P/E,P/B (price to book ratio),FII,DII,%Delivery,Delivery_Volume,Traded_Volume
24-07-2020,2154.5,2163,2125.100098,2157.399902,2034.033447,3665100,0.174298301,6388.207019,2952,2079.5,88.64,95.9,198.31,73,22.49634935,10.87892644,16,7.85,38%,1392.83,3665.12
27-07-2020,2165,2215,2163.5,2206.800049,2080.609131,4248480,0.202041648,8583.699013,2952,2079.5,88.64,95.9,198.31,73,23.01147079,11.12803212,16,7.85,27%,1148.53,4248.84
28-07-2020,2215,2320,2215,2309.75,2177.671875,8092319,0.3848401,31142.48853,2952,2079.5,88.64,95.9,198.31,73,24.08498436,11.64716857,16,7.85,39.20%,3170.17,8092.46
29-07-2020,2292,2342,2246.050049,2276.050049,2145.898926,6090431,0.289637875,17640.1949,2952,2079.5,88.64,95.9,198.31,73,23.73357715,11.47723286,16,7.85,22.40%,1364.27,6090.44
30-07-2020,2285.899902,2358,2272.25,2279.5,2149.151367,7098496,0.337577635,23962.93492,2952,2079.5,88.64,95.9,198.31,73,23.76955162,11.49462962,16,7.85,25.60%,1819.7,7098.91
31-07-2020,2303.149902,2334.800049,2257.449951,2281.399902,2150.942871,4723290,0.224621817,10609.53981,2952,2079.5,88.64,95.9,198.31,73,23.7893629,11.50421009,16,7.85,18.60%,877.01,4723.29
03-08-2020,2290.449951,2303.850098,2230.699951,2254.149902,2125.251709,4012337,0.19081158,7656.003615,2952,2079.5,88.64,95.9,198.31,73,23.50521275,11.36679896,16,7.85,47%,1886.26,4012.45
04-08-2020,2259.949951,2269.649902,2225.050049,2249.699951,2121.055908,2927928,0.139241187,4076.881706,2952,2079.5,88.64,95.9,198.31,73,23.45881075,11.34435959,16,7.85,35.80%,1048.51,2927.95
05-08-2020,2260,2300,2253,2259.5,2130.294678,3800641,0.180744118,6869.435065,2952,2079.5,88.64,95.9,198.31,73,23.56100104,11.39377742,16,7.85,28.80%,1096.39,3800.64
06-08-2020,2275,2319.5,2265.350098,2308.100098,2176.115967,4748047,0.225799166,10721.05053,2952,2079.5,88.64,95.9,198.31,73,24.06777995,11.63884876,16,7.85,29.60%,1406.21,4748.35
07-08-2020,2308,2328,2287,2295.350098,2164.095215,3165491,0.150538785,4765.291702,2952,2079.5,88.64,95.9,198.31,73,23.93482896,11.57455548,16,7.85,43.80%,1385.96,3165.49
10-08-2020,2318,2325,2276.050049,2282.800049,2152.263428,2929353,0.139308955,4080.851046,2952,2079.5,88.64,95.9,198.31,73,23.80396297,11.51127048,16,7.85,41.20%,1206.42,2929.39
11-08-2020,2283,2312,2275.600098,2279.899902,2149.528076,2774423,0.13194107,3660.603383,2952,2079.5,88.64,95.9,198.31,73,23.77372161,11.49664617,16,7.85,42.90%,1190.11,2774.51
12-08-2020,2288.350098,2296.399902,2246.550049,2257.350098,2128.268311,3415751,0.162440205,5548.552923,2952,2079.5,88.64,95.9,198.31,73,23.53858287,11.3829363,16,7.85,39.50%,1350.7,3415.77
13-08-2020,2273,2300,2250.5,2254.449951,2125.533447,2695682,0.128196445,3455.768502,2952,2079.5,88.64,95.9,198.31,73,23.50834151,11.36831199,16,7.85,36.10%,973.64,2695.68
14-08-2020,2277,2281.300049,2233.100098,2242.149902,2113.9375,2270405,0.107971879,2451.398938,2952,2079.5,88.64,95.9,198.31,73,23.3800824,11.30628764,16,7.85,44.80%,1016.06,2270.41
17-08-2020,2263,2270,2238.25,2253.399902,2124.543701,2625630,0.124865037,3278.493872,2952,2079.5,88.64,95.9,198.31,73,23.4973921,11.36301701,16,7.85,41%,1077.7,2625.67
18-08-2020,2262.800049,2289,2248.300049,2269.75,2139.959229,3493374,0.166131661,5803.600263,2952,2079.5,88.64,95.9,198.31,73,23.66788321,11.44546417,16,7.85,37.60%,1312.31,3493.41
19-08-2020,2276.350098,2284.600098,2252.5,2256.600098,2127.560791,2843005,0.13520257,3843.815834,2952,2079.5,88.64,95.9,198.31,73,23.53076223,11.37915434,16,7.85,46.30%,1316.27,2843.01
20-08-2020,2257,2276.550049,2240.050049,2252.850098,2124.025635,2895164,0.137683055,3986.150247,2952,2079.5,88.64,95.9,198.31,73,23.491659,11.36024455,16,7.85,40.80%,1181.77,2895.26
21-08-2020,2260,2271,2241.050049,2248.600098,2120.018311,1975294,0.093937515,1855.542105,2952,2079.5,88.64,95.9,198.31,73,23.447342,11.33881346,16,7.85,35.40%,700.16,1975.3
24-08-2020,2250.600098,2259.949951,2230,2248.100098,2119.547607,2167966,0.103100267,2235.178742,2952,2079.5,88.64,95.9,198.31,73,23.44212823,11.33629216,16,7.85,34.40%,745.8,2167.99
25-08-2020,2245,2250,2233.550049,2242.649902,2114.408691,1663419,0.079105919,1315.862893,2952,2079.5,88.64,95.9,198.31,73,23.38529617,11.30880895,16,7.85,38.30%,636.4,1663.45
